playerID,Seasons,Wins,Loses,Games,Games_Started,Complete_Games,Shut_Outs,Earned_Runs,Strike_Outs,Walks,Games_Finished,Runs_Allowed,Batters_Faced
smith01,1,0,0,1,1,0,0,6,2,2,0,11,33
smithal02,1,0,0,1,0,0,0,2,0,2,0,2,11
smithal03,12,99,101,356,202,75,16,688,587,587,96,827,7112
smithar01,1,0,1,3,2,0,0,9,1,4,0,13,39
smithbi03,1,5,4,9,9,9,0,35,36,30,0,47,343
smithbi04,3,1,6,32,6,0,0,32,34,17,9,42,295
smithbi06,1,1,1,10,1,0,0,7,3,3,4,7,81
smithbl01,1,0,0,5,0,0,0,3,1,0,1,3,21
smithbo01,3,0,0,17,1,0,0,19,14,21,10,21,14
smithbo02,14,106,139,435,229,128,16,983,618,670,156,1139,9652
smithbo03,6,4,9,91,8,2,0,75,93,83,28,102,753
smithbo05,3,4,4,30,10,1,0,51,60,59,7,57,435
smithbr01,13,108,94,365,255,23,8,702,1028,432,39,808,7434
smithbr03,1,0,0,3,0,0,0,5,3,2,1,5,20
smithbu02,2,7,8,27,24,1,1,73,81,46,2,79,580
smithbu03,2,2,9,48,13,0,0,86,123,61,19,86,525
smithca02,5,4,6,108,0,0,0,25,129,34,31,27,415
smithca03,2,5,7,25,18,0,0,52,106,43,6,52,412
smithch02,12,66,87,212,148,87,10,422,570,353,50,587,5479
smithch03,1,0,1,5,1,0,0,7,11,11,3,8,77
smithch06,2,11,11,34,34,1,0,90,189,89,0,100,898
smithch07,5,1,4,77,9,0,0,89,112,62,27,93,642
smithch08,2,0,0,12,0,0,0,12,11,6,5,12,63
smithch09,1,0,0,4,0,0,0,3,1,1,3,3,23
smithcl01,2,1,1,18,1,0,0,24,17,15,9,28,179
smithda01,2,2,1,22,0,0,0,25,13,30,15,29,210
smithda02,13,53,53,609,1,0,0,240,548,283,432,280,3357
smithda03,2,0,0,5,0,0,0,6,3,1,3,6,27
smithda04,1,0,1,2,1,0,0,3,6,4,1,3,27
smithda05,2,1,5,17,2,0,0,15,14,20,3,19,143
smithda06,4,7,12,87,17,0,0,103,142,81,21,108,780
smithdo01,1,0,0,1,0,0,0,1,1,0,1,1,11
smithdr01,1,1,1,27,0,0,0,11,18,6,8,11,120
smithed01,4,2,7,11,10,8,0,46,18,18,2,67,368
smithed03,1,8,11,19,18,13,0,64,45,53,1,90,647
smithed04,12,73,113,282,197,91,8,678,694,739,60,816,6973
smithed05,1,3,4,9,8,5,0,24,13,17,1,61,296
smithel01,7,75,57,149,136,122,9,450,525,422,11,714,5237
smithfr02,1,19,13,35,34,31,2,104,116,90,1,155,1223
smithfr03,14,139,111,354,255,184,27,655,1051,676,78,891,8431
smithfr04,1,2,7,18,9,5,0,27,19,24,9,44,356
smithfr06,7,35,33,271,7,1,0,210,277,181,175,247,2093
smithge01,1,0,0,1,0,0,0,1,1,0,1,2,6
smithge02,11,41,81,229,118,52,5,494,263,255,78,643,4874
smithge03,5,10,8,132,7,1,0,194,135,218,73,225,1533
smithgr02,2,8,18,40,40,2,0,115,142,111,0,120,982
smithha05,1,1,0,1,1,0,0,1,1,0,0,1,18
smithha07,4,12,11,51,25,10,3,88,59,52,14,112,910
smithhe01,1,0,1,2,1,1,0,12,5,5,1,13,70
smithja01,1,0,0,2,0,0,0,0,1,2,2,0,19
smithja04,3,2,2,34,0,0,0,25,31,17,12,28,214
smithja06,1,1,0,4,0,0,0,2,3,1,1,2,17
smithjo05,14,49,29,754,0,0,0,225,593,232,157,242,2759
smithjo06,2,3,2,54,0,0,0,34,39,19,16,34,273
smithjo07,3,5,8,67,9,0,0,75,103,62,23,79,572
smithle02,21,71,92,1022,6,0,0,434,1251,486,802,475,5388
smithma02,1,1,0,8,1,0,0,11,10,6,2,11,70
smithma04,3,0,1,35,0,0,0,7,22,23,9,7,104
smithmi03,8,76,86,240,204,41,6,690,731,383,19,745,5861
smithmi04,5,1,1,33,1,0,0,26,26,22,18,28,220
smithmi05,2,2,0,15,1,0,0,21,14,15,4,23,111
smithmi06,2,0,3,15,7,0,0,30,17,23,3,32,192
smithmu01,1,0,0,3,0,0,0,3,0,1,2,3,16
smithpe01,2,0,1,7,2,0,0,14,7,8,2,14,79
smithpe02,12,47,71,231,163,12,4,518,640,404,19,557,4423
smithph01,12,54,74,140,129,123,2,506,519,479,11,802,5219
smithpo01,1,0,0,3,0,0,0,4,0,0,3,7,28
smithpo02,3,1,4,26,5,0,0,31,20,26,15,41,284
smithre01,2,0,2,2,2,2,0,11,5,15,0,21,89
smithro01,8,30,31,136,93,4,1,316,320,202,7,344,2699
smithro02,2,1,2,15,0,0,0,10,7,8,11,11,89
smithro03,2,0,0,13,1,0,0,13,19,18,3,18,115
smithru01,1,0,0,1,1,0,0,3,2,3,0,4,37
smithsh01,15,114,118,373,224,142,16,757,428,440,108,964,8663
smithto02,4,4,7,25,13,9,0,97,38,89,12,144,670
smithtr01,5,6,6,42,15,0,0,81,69,38,8,84,502
smithwi02,4,2,4,29,3,0,0,21,39,24,10,26,258
smithwi03,1,1,1,8,0,0,0,7,7,3,2,7,33
smithwi04,7,20,22,296,17,0,0,141,398,128,52,161,1454
smithza01,15,100,115,360,291,35,16,798,1011,583,16,933,8077
smokejo01,4,4,2,82,0,0,0,47,97,43,12,51,370
smolija01,1,0,0,1,0,0,0,2,0,0,1,2,5
smollle01,1,2,8,33,9,0,0,65,31,36,12,77,500
smoltjo01,22,213,155,723,481,53,16,1284,3084,1010,204,1391,14271
smylydr01,6,31,27,156,85,1,1,237,552,161,9,253,2350
smythha01,4,5,12,60,10,2,0,110,33,62,29,142,746
smythst01,1,1,3,8,7,0,0,27,16,10,0,28,122
snarery01,1,0,0,1,0,0,0,4,0,2,0,5,17
snellbl01,3,32,20,74,74,0,0,131,438,174,0,150,1648
snellia01,8,38,53,152,136,2,0,429,639,372,3,458,3582
snellna01,4,7,6,104,2,0,0,80,96,72,48,102,919
sneltdj01,1,0,0,4,0,0,0,5,4,3,0,6,26
snidetr01,1,0,0,1,0,0,0,2,1,2,1,2,6
snodgsc01,1,0,0,4,0,0,0,4,1,3,1,7,19
snookfr01,1,0,2,18,0,0,0,11,13,18,8,15,118
snoveco01,1,0,1,2,1,0,0,1,4,3,0,5,38
snydebi01,2,2,2,18,5,1,0,26,22,31,7,37,278
snydebr01,2,1,2,17,6,0,0,27,24,21,6,30,172
snydege01,1,1,0,1,1,1,0,0,0,2,0,3,34
snydege02,1,1,1,11,2,0,0,16,20,20,2,19,128
snydejo02,3,19,24,63,62,2,0,229,188,149,0,247,1565
snydeky01,6,8,17,93,29,0,0,147,157,85,24,165,1071
sobkosc01,1,0,0,1,0,0,0,1,0,0,1,1,5
sobotch01,1,1,0,14,0,0,0,3,21,9,5,3,58
socolmi01,6,5,3,74,0,0,0,45,73,30,29,48,373
soderst01,1,2,0,3,3,0,0,8,9,6,0,11,63
sodowcl01,5,8,14,106,20,0,0,126,118,117,18,138,876
soffra01,2,5,2,42,0,0,0,25,31,18,10,28,230
solanju01,7,6,8,106,1,0,0,88,102,82,38,97,754
soleral01,1,2,3,8,8,1,1,30,23,21,0,33,208
solisma01,1,3,3,15,4,0,0,35,15,20,3,41,244
solissa01,4,5,7,141,0,0,0,64,136,56,28,68,555
solomed01,11,36,42,191,95,8,0,319,337,247,40,386,3117
sommean01,1,0,1,1,1,0,0,6,0,5,0,6,7
sommejo01,5,0,0,6,0,0,0,15,3,7,5,25,84
sommeru01,4,2,8,33,8,2,0,54,44,53,14,75,445
somsela01,1,0,0,2,0,0,0,5,2,3,1,5,16
songedo01,5,10,14,71,16,5,1,76,44,98,32,106,904
sonnaan01,5,28,31,132,80,1,1,316,343,136,33,339,2339
sorenla01,11,93,103,346,235,69,10,800,569,402,45,894,7385
soriajo01,14,31,35,639,0,0,0,203,688,189,382,217,2613
soriara01,14,24,28,591,8,0,0,204,641,197,343,213,2571
sorokmi01,1,2,1,5,5,0,0,10,21,7,0,14,113
sorrevi01,10,92,101,280,216,95,8,823,619,706,41,949,7410
sosael01,14,59,51,601,3,0,0,339,538,334,330,388,3880
sosahe01,1,3,5,10,10,0,0,31,38,23,0,31,231
sosajo01,2,1,3,34,2,0,0,30,36,29,11,30,266
sosajo02,10,44,53,294,90,1,1,405,491,354,55,441,3404
sothoal01,13,91,100,264,194,102,17,582,576,596,56,786,6802
sotogi01,1,0,0,6,0,0,0,0,0,0,1,0,13
sotoma01,12,100,92,297,224,72,13,667,1449,657,20,732,7147
souzama01,1,0,0,5,0,0,0,6,2,5,0,6,34
sowdebi01,4,29,30,71,61,55,2,192,205,149,10,322,2254
sowdejo01,3,25,32,65,60,48,1,237,195,271,5,427,2352
sowerje01,4,18,30,72,71,2,2,230,174,132,1,242,1741
spadebo01,5,25,24,62,52,36,4,140,121,159,9,197,1770
spahnwa01,22,363,245,750,665,382,63,1798,2583,1434,68,2016,21547
spaldal01,7,252,65,347,325,279,24,684,248,164,31,1790,12724
spangco01,1,0,0,2,0,0,0,3,0,3,2,3,12
spansbi01,1,2,3,29,7,0,0,50,55,44,4,51,301
sparkgl01,2,0,3,17,3,0,0,26,28,16,4,27,188
sparkje01,2,0,1,23,0,0,0,14,41,30,6,14,139
sparkst01,10,59,76,270,182,16,2,716,658,520,45,800,5832
sparkst02,1,0,0,3,0,0,0,3,2,5,2,3,20
