playerID,Total_Games,Games_Started,Games_Pitched,Games_Catcher,Games_First_Base,Games_Second_Base,Games_Third_Base,Games_Short_Stop,Games_Left_Field,Games_Right_Field,Games_Center_Field,Games_Out_Field,Games_DH
joyce01,1,NULL,0,0,0,0,0,0,0,0,1,1,0
wrighbo01,2,0,2,0,0,0,0,0,0,0,0,0,0
nayloro01,182,136,181,0,0,0,0,0,0,0,0,0,0
murphjo01,33,NULL,21,0,0,4,1,2,5,3,4,12,0
woodjo01,1,NULL,1,0,0,0,0,0,0,0,0,0,0
torboje01,574,449,0,559,0,0,0,0,0,0,0,0,0
hathahi01,13,12,13,0,0,0,0,0,0,0,0,0,0
defraju01,191,0,191,0,0,0,0,0,0,0,0,0,0
starrbi01,13,7,0,13,0,0,0,0,0,0,0,0,0
embrere01,147,90,141,0,0,0,0,0,0,0,0,0,0
grossgr01,1809,764,2,0,74,0,0,0,624,524,176,1205,0
ugglada01,1346,1265,0,0,1,1283,0,0,0,0,0,0,4
barneda01,814,673,1,0,0,648,83,57,9,0,0,9,3
shallgu01,36,NULL,36,0,0,0,0,0,0,3,0,3,0
laudebi01,485,NULL,0,0,0,0,481,0,2,2,0,4,0
wilcomi01,397,285,395,0,0,0,0,0,0,0,0,0,1
kirbywa01,516,266,0,0,0,0,0,0,39,245,129,398,21
redmama01,219,203,219,0,0,0,0,0,0,0,0,0,0
daviswa01,463,88,462,0,0,0,0,0,0,0,0,0,0
zarilal01,1120,884,0,0,0,0,0,0,231,653,134,977,0
vanrybe01,26,0,26,0,0,0,0,0,0,0,0,0,0
hawketh01,102,NULL,0,0,0,102,0,0,0,0,2,2,0
toddfr01,4,NULL,4,0,0,0,0,0,0,0,0,0,0
burrila01,159,102,0,0,0,127,1,20,0,0,0,0,0
reyesde01,674,40,673,0,0,0,0,0,0,0,0,0,0
careyma01,2466,2378,0,0,0,0,0,0,660,145,1624,2410,0
wambsbi01,1494,1387,0,0,9,1210,45,174,0,0,0,0,0
lookbr01,59,29,0,41,0,0,0,0,0,0,0,0,0
lemkema01,1069,881,0,0,0,965,73,1,0,0,0,0,0
