playerID,Seasons,Hits,RBIs,Runs,Stolen_Bases,Strike_Outs,Home_Runs,Walks,Games,Triples,Doubles,Caught_Stealing,At_Bats,Intentional_Walks,Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Ground_Into_Double_Plays
loftoke01,20,2428,781,1528,622,1016,130,945,2103,116,383,160,8120,43,32,72,65,111
loftudi01,2,53,21,34,3,7,0,12,97,0,12,0,212,NULL,2,6,NULL,NULL
loftufr01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
loftuto01,2,6,0,3,NULL,1,0,2,9,0,0,NULL,33,NULL,NULL,NULL,NULL,NULL
loganbo01,6,13,7,3,0,10,0,2,57,1,2,0,65,0,0,6,0,2
loganbo02,13,0,0,0,0,0,0,0,635,0,0,0,0,0,0,1,0,0
loganjo01,14,1407,547,651,19,472,93,451,1503,41,216,13,5244,26,43,125,30,125
loganno01,4,233,56,111,56,182,2,59,321,12,38,14,870,5,1,23,4,15
lohmape01,1,21,11,18,1,17,1,16,32,4,1,NULL,109,NULL,1,NULL,NULL,NULL
lohrho01,2,11,8,6,3,9,0,0,21,1,1,NULL,54,NULL,0,1,NULL,NULL
lohrkja01,7,221,96,125,9,86,22,111,354,9,38,0,914,NULL,4,17,NULL,26
lohrmbi01,12,49,23,23,1,95,2,15,202,2,8,0,321,0,2,16,0,11
lohseky01,18,78,31,23,0,163,0,9,472,0,9,1,509,0,4,75,3,5
loisal01,2,1,0,6,1,1,0,0,14,1,0,1,4,0,0,0,0,0
loiseri01,6,2,2,0,0,4,0,0,202,0,1,0,9,0,0,2,0,1
lolicmi01,16,90,31,63,1,362,0,105,592,2,5,1,821,0,5,85,1,20
lolicro01,3,48,23,20,0,49,4,11,87,0,9,2,228,1,0,1,1,3
lollash01,18,1415,808,623,20,453,155,671,1752,14,244,10,5351,49,115,47,34,184
lollati01,8,54,38,27,0,64,8,18,204,3,3,0,231,0,0,3,3,3
lolliry01,1,2,0,0,1,1,0,1,5,0,0,0,12,0,0,0,0,0
lomando01,2,35,19,23,0,19,2,16,47,2,7,2,142,2,1,3,1,0
lomasst01,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0
lombaer01,17,1792,990,601,8,262,190,430,1853,27,277,NULL,5855,NULL,46,18,NULL,261
lombage01,6,77,21,55,23,111,8,27,144,3,12,2,350,1,3,7,1,2
lombalo01,1,0,0,0,0,0,0,0,2,0,0,NULL,2,NULL,0,0,NULL,0
lombaph01,3,22,9,10,0,17,3,9,43,0,4,0,92,0,1,0,0,4
lombast01,6,294,107,153,13,206,20,131,446,12,61,9,1264,6,7,28,7,20
lombast02,6,207,52,75,10,104,5,29,291,5,33,6,796,2,8,11,4,8
lombavi01,6,74,32,25,3,34,0,12,248,1,8,NULL,311,NULL,1,16,NULL,4
lomonke01,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0
lonboji01,15,105,43,41,1,330,3,51,426,2,17,2,770,0,1,78,2,10
